gene_id,sf1,sf2,sf3,sl1,sl2,sl3
PEQU_17536,653,1041,901,1878,1873,1712
PEQU_22439,0,0,0,0,0,0
PEQU_17537,4,4,2,5,7,4
PEQU_17812,0,8,14,4,0,0
PEQU_12723,0,0,0,8,0,0
PEQU_12721,0,0,0,0,0,0
PEQU_10650,0,0,0,1,0,0
PEQU_10651,6,7,12,23,24,15
PEQU_10652,215,586,545,1186,1196,1187
PEQU_10653,0,4,3,24,11,13
PEQU_10654,0,0,0,0,0,0
PEQU_25429,621,974,737,1702,1618,1342
PEQU_10658,0,5,3,4,0,0
PEQU_10659,934,1769,954,1449,1681,1268
PEQU_25428,72,160,65,112,108,110
PEQU_35659,3,28,0,0,0,0
PEQU_35658,41,149,108,183,165,164
PEQU_34959,7432,11142,10011,1327,1403,1162
PEQU_34958,0,0,0,0,0,0
PEQU_34957,381,478,269,347,298,276
PEQU_34951,270,335,286,166,163,200
PEQU_34950,1075,1364,706,731,589,724
PEQU_25474,2337,2996,1930,1868,2129,1768
PEQU_12878,6,1,3,16,18,14
PEQU_12879,634,635,580,625,749,659
PEQU_25470,0,0,0,0,0,0
PEQU_25471,1246,1785,1372,1945,2077,1837
PEQU_25473,0,0,0,0,0,0
PEQU_12872,687,1019,575,627,742,549
PEQU_12873,319,389,295,187,224,275
PEQU_12870,0,0,0,0,0,0
PEQU_12871,96,98,69,24,26,37
PEQU_12876,2738,3655,2956,4125,3858,3833
PEQU_12877,821,1200,990,2731,3168,2544
PEQU_12874,13,76,93,67,78,55
PEQU_12875,385,512,382,241,198,160
PEQU_03539,33,91,72,97,83,83
PEQU_35656,0,0,0,0,0,0
PEQU_20446,187,544,372,4,4,8
PEQU_20447,2,0,0,0,0,0
PEQU_20444,0,0,0,0,0,0
PEQU_15060,567,1850,471,109,148,112
PEQU_15062,339,567,396,937,831,713
PEQU_15064,85,75,48,70,32,30
PEQU_15065,2746,2997,2011,2325,2540,2051
PEQU_20448,4,0,0,0,0,0
PEQU_20449,60,75,55,21,23,26
PEQU_22178,340,337,185,420,465,365
PEQU_22179,0,0,0,2,0,0
PEQU_25788,4341,5349,5275,5851,6474,5459
PEQU_25789,2003,2880,1819,4096,4439,3593
PEQU_22171,162,152,126,9,10,12
PEQU_22172,683,864,771,2048,2049,1897
PEQU_22173,553,583,472,1147,1142,981
PEQU_25782,837,1412,988,16596,19218,14746
PEQU_22175,4629,8775,8194,15378,16688,13756
PEQU_22176,0,0,0,0,0,0
PEQU_22177,0,0,0,0,0,0
PEQU_04641,476,584,593,274,369,242
PEQU_03615,2,2,0,0,5,0
PEQU_11523,76,187,136,75,66,56
PEQU_11522,145,220,230,603,572,562
PEQU_11525,104,947,909,150,102,140
PEQU_11524,7,4,24,9,8,4
PEQU_11527,45,133,194,998,1199,952
PEQU_11526,2,15,17,0,0,2
PEQU_11529,361,479,272,1966,2216,2037
PEQU_11528,537,831,648,860,942,794
PEQU_03617,40,64,55,102,78,40
PEQU_24785,12,8,8,56,52,46
PEQU_24784,0,0,0,3,1,3
